#group,false,false,false,false,false,false
#datatype,string,string,double,double,double,dateTime:RFC3339
#default,,,,,,
,source,station,status_circle,status_district,status_piccadilly,time
,tfl_api,Gloucester Road,10,10,10,2026-03-19T09:18:16.900015587Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T09:23:18.062358532Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T09:28:18.746029745Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T09:33:19.897540826Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T09:38:20.763221939Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T09:43:21.938309831Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T09:48:22.71321064Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T09:53:23.409817971Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T09:58:24.117886617Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T10:03:24.789150154Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T10:08:25.513853198Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T10:13:26.274599742Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T10:18:29.132003403Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T10:23:29.839814719Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T10:28:31.389597264Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T10:33:32.071506107Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T10:38:33.080232074Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T10:43:35.203521903Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T10:48:36.029403056Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T10:53:36.759454216Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T10:58:37.723413173Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T11:03:38.438432982Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T11:08:39.709525347Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T11:13:40.463725323Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T11:18:43.347724884Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T11:23:44.112176104Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T11:28:44.801806546Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T11:33:48.781997652Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T11:38:49.77339084Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T11:43:50.688933067Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T11:48:51.492172278Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T11:53:52.255986461Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T11:58:53.074276594Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T12:03:54.155890456Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T12:08:56.829205967Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T12:13:57.590495371Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T12:18:58.526469836Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T12:24:02.306492153Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T12:29:03.008167656Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T12:34:03.816554957Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T12:39:04.558545732Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T12:44:05.421962413Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T12:49:07.263214465Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T12:54:08.069107743Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T12:59:08.779573188Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T13:04:09.62935284Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T13:09:10.355255145Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T13:14:11.055712096Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T13:19:11.764704809Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T13:24:12.489587467Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T13:29:13.53643614Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T13:34:14.46904898Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T13:39:16.339795765Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T13:44:17.03648745Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T13:49:18.397686341Z
