#group,false,false,false,false,false
#datatype,double,string,string,string,dateTime:RFC3339
#default,,,,,
,air_quality_band,air_quality_text,source,station,time
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T06:14:34.078111711Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T06:19:34.922007127Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T06:24:37.197455475Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T06:29:38.054240412Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T06:34:40.504040549Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T06:39:41.14750816Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T06:44:43.734770532Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T06:49:44.720063113Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T06:54:45.368666233Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T06:59:46.018126062Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T07:04:46.83018556Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T07:09:48.945147138Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T07:14:49.844238114Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T07:19:51.319285291Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T07:24:53.677948433Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T07:29:54.325801365Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T07:34:55.390470934Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T07:39:56.249736845Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T07:45:00.637733872Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T07:50:01.674068419Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T07:55:04.23393635Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T08:00:05.045772608Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T08:05:05.880339539Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T08:10:06.796819559Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T08:15:07.945482986Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T08:20:09.626225114Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T08:25:12.603961168Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T08:30:13.366778688Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T08:35:16.407312612Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T08:40:17.151357812Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T08:45:20.180917199Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T08:50:21.22302161Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T08:55:22.099203179Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T09:00:22.939889383Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T09:05:23.596991012Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T09:10:24.438871838Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T09:15:25.495133175Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T09:20:26.830114953Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T09:25:29.678106718Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T09:30:30.857219822Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T09:35:31.543751102Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T09:40:32.25365392Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T09:45:35.09419635Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T09:50:36.338596911Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T09:55:37.191005476Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T10:00:37.908357532Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T10:05:38.648196064Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T10:10:40.381916252Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T10:15:49.083441669Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T10:20:50.146993251Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T10:25:50.966760341Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T10:30:55.105595585Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T10:35:55.893897465Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T10:40:56.728386786Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T10:45:57.832987912Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T10:50:58.56721658Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T10:56:00.353328789Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T11:01:01.826749009Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T11:06:03.322867636Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T11:11:06.902672745Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T11:16:07.787688935Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T11:21:08.750377308Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T11:26:09.683490806Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T11:31:10.589887007Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T11:36:11.257638376Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T11:41:12.564086961Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T11:46:13.309687769Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T11:51:15.094408663Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T11:56:17.554093393Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T12:01:18.42153679Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T12:06:19.919032132Z
